,Unnamed: 0,Código,Nome,Cota (m),Afluência (m³/s),Defluência (m³/s),Vazão Vertida (m³/s),Vazão Turbinada (m³/s),Vazão Natural (m³/s),Volume Útil (%),Vazão Incremental (m³/s),Data da Medição,data,PG,h2,PGreglin,PGregpol3,erroreglin,erroregpol
68,68,19115,IRAPE,507.55,87,219,0,219,105.82,91.54,,10/03/2022,2022-03-10,331.694958333333,329.115379729935,326.0209507654234,331.854185894073,5.674007567909598,0.1592275607400211
69,69,19115,IRAPE,507.48,99,202,0,202,98.06,91.3,,11/03/2022,2022-03-11,302.339041666667,331.14958563127,300.0583504166524,305.2144383382484,2.280691250014627,2.8753966715813704
70,70,19115,IRAPE,507.4,100,217,0,217,88.5,91.02,,12/03/2022,2022-03-12,331.534,327.408206260712,322.68485225185884,328.44098313188465,8.84914774814115,3.093016868115342
71,71,19115,IRAPE,507.41,80,65,0,65,85.74,91.06,,13/03/2022,2022-03-13,94.3814166666667,336.346442092121,95.13955121866306,95.20713159476327,0.7581345519963634,0.8257149280965734
72,72,19115,IRAPE,507.4,69,84,0,84,76.98,91.02,,14/03/2022,2022-03-14,136.181833333333,316.404007093411,123.18705768031772,123.70534453095664,12.994775653015282,12.476488802376366
73,73,19115,IRAPE,507.41,73,58,0,58,78.82,91.06,,15/03/2022,2022-03-15,78.7205416666667,347.511479412397,84.83113055862667,84.77321757583161,6.110588891959964,6.052675909164904
74,74,19115,IRAPE,507.41,55,55,0,55,69.66,91.06,,16/03/2022,2022-03-16,91.925875,310.5037740262,80.41786329322841,80.31354707337353,11.508011706771597,11.612327926626477
75,75,19115,IRAPE,507.43,87,58,0,58,70.1,91.13,,17/03/2022,2022-03-17,78.2469583333334,348.4934300389,84.84162944301167,84.78371646021662,6.5946711096782735,6.536758126883228
76,76,19115,IRAPE,507.43,56,56,0,56,66.35,91.13,,18/03/2022,2022-03-18,88.9337083333333,320.334759281513,81.89878074870423,81.80942579057175,7.034927584629074,7.124282542761549
77,77,19115,IRAPE,507.44,71,56,0,56,66.99,91.16,,19/03/2022,2022-03-19,66.4945,367.551483968194,81.90312511465665,81.81377015652419,15.408625114656644,15.319270156524183
78,78,19115,IRAPE,507.44,54,54,0,54,62.44,91.16,,20/03/2022,2022-03-20,94.7689583333333,300.684670740163,78.96135521193932,78.84259068691006,15.807603121393981,15.926367646423245
79,79,19115,IRAPE,507.44,58,58,0,58,61.48,91.16,,21/03/2022,2022-03-21,71.8137916666667,361.570589015641,84.84612896489097,84.7882159820959,13.032337298224263,12.974424315429204
80,80,19115,IRAPE,507.45,64,49,0,49,58.73,91.19,,22/03/2022,2022-03-22,71.2509166666667,336.141567428784,71.61613029574131,71.4329890210173,0.3652136290746171,0.1820723543506091
81,81,19115,IRAPE,507.45,51,51,0,51,56.57,91.19,,23/03/2022,2022-03-23,81.5368333333333,319.098956799101,74.55497048559299,74.39598744484765,6.981862847740317,7.140845888485657
82,82,19115,IRAPE,507.45,57,57,0,57,57.61,91.19,,24/03/2022,2022-03-24,89.604125,322.251479481711,83.37889474025005,83.30500914429098,6.225230259749949,6.299115855709019
83,83,19115,IRAPE,507.44,43,58,0,58,57.06,91.16,,25/03/2022,2022-03-25,86.666,331.40252754555,84.84612896489097,84.7882159820959,1.8198710351090313,1.8777840179040908
84,84,19115,IRAPE,507.43,63,63,0,63,52.1,91.13,,26/03/2022,2022-03-26,86.0849583333333,346.450308962431,92.20414969916719,92.23347928049843,6.119191365833885,6.1485209471651245
85,85,19115,IRAPE,507.43,40,46,0,46,51.74,91.11,,27/03/2022,2022-03-27,68.1981666666667,332.76767632922,67.20066743237668,66.98536782339832,0.997499234290018,1.2127988432683736
86,86,19115,IRAPE,507.44,32,47,0,47,51.99,91.16,,28/03/2022,2022-03-28,81.0535,304.270608222019,68.67487788912516,68.46974731705332,12.378622110874844,12.583752682946681
87,87,19115,IRAPE,507.44,55,55,0,55,48.83,91.16,,29/03/2022,2022-03-29,88.005,318.932331002296,80.43208591985835,80.32776970000346,7.5729140801416435,7.677230299996538
88,88,19115,IRAPE,507.43,38,53,0,53,46.27,91.13,,30/03/2022,2022-03-30,70.682125,350.314839455844,77.48682135883743,77.35412634791538,6.8046963588374325,6.6720013479153835
89,89,19115,IRAPE,507.42,47,47,0,47,47.51,91.09,,31/03/2022,2022-03-31,72.936,324.598002693051,68.66637017246833,68.4612396003965,4.2696298275316735,4.474760399603511
90,90,19115,IRAPE,507.41,48,63,0,63,45.35,91.06,,01/04/2022,2022-04-01,107.000958333333,307.317189981713,92.1927457385421,92.22207531987334,14.808212594790902,14.778883013459662
91,91,19115,IRAPE,507.4,38,53,0,53,47.39,91.02,,02/04/2022,2022-04-02,67.996625,356.254280295962,77.47174537460968,77.33905036368763,9.475120374609688,9.342425363687639
92,92,19115,IRAPE,507.4,44,44,0,44,44.03,91.02,,03/04/2022,2022-04-03,67.745375,326.010835653865,64.25508556928229,64.02112368915752,3.4902894307177093,3.724251310842476
93,93,19115,IRAPE,507.37,33,77,0,77,42.27,90.92,,04/04/2022,2022-04-04,111.389291666667,336.943516736966,112.81842064905105,113.15320376893382,1.429128982384043,1.763912102266815
94,94,19115,IRAPE,507.36,45,60,0,60,42.51,90.89,,05/04/2022,2022-04-05,85.0708333333333,340.322568978139,87.7484746623868,87.7239972942329,2.6776413290535004,2.6531639608996045
95,95,19115,IRAPE,507.35,39,51,0,51,41.35,90.86,,06/04/2022,2022-04-06,74.3302083333333,335.646345239593,74.51144924810534,74.35246620736001,0.18124091477203308,0.02225787402670676
96,96,19115,IRAPE,507.34,39,57,0,57,41.79,90.82,,07/04/2022,2022-04-07,84.8352083333333,331.998127388731,83.32435743195448,83.25047183599541,1.5108509013788165,1.584736497337886
97,97,19115,IRAPE,507.34,38,44,0,44,40.43,90.8,,08/04/2022,2022-04-08,67.282625,327.189855082146,64.2300537464136,63.99609186628883,3.052571253586393,3.286533133711167
98,98,19115,IRAPE,507.33,35,44,0,44,39.66,90.78,,09/04/2022,2022-04-09,67.4274583333334,326.79206185932,64.2277781261528,63.99381624602803,3.199680207180606,3.4336420873053726
99,99,19115,IRAPE,507.33,38,44,0,44,39.5,90.77,,10/04/2022,2022-04-10,67.2469583333333,327.275353067974,64.22664031602241,63.99267843589765,3.020318017310885,3.2542798974356444
100,100,19115,IRAPE,507.33,38,50,0,50,41.93,90.77,,11/04/2022,2022-04-11,77.56425,324.572184403606,73.03109157282228,72.85976074679662,4.5331584271777245,4.704489253203377
101,101,19115,IRAPE,507.33,41,44,0,44,44.97,90.78,,12/04/2022,2022-04-12,67.0520416666667,327.797245098003,64.2277781261528,63.99381624602803,2.824263540513897,3.0582254206386636
102,102,19115,IRAPE,507.31,44,44,0,44,44.8,90.71,,13/04/2022,2022-04-13,66.75925,328.561198773721,64.21981345524003,63.98585157511528,2.5394365447599654,2.773398424884718
103,103,19115,IRAPE,507.31,44,44,0,44,48.83,90.71,,14/04/2022,2022-04-14,67.3085416666667,327.090462854126,64.21981345524003,63.98585157511528,3.0887282114266696,3.322690091551422
104,104,19115,IRAPE,507.32,52,43,0,43,54.86,90.73,,15/04/2022,2022-04-15,66.5155416666667,325.081957461808,62.7558636740628,62.51341841126065,3.759677992603905,4.002123255406055
105,105,19115,IRAPE,507.33,58,43,0,43,58.49,90.77,,16/04/2022,2022-04-16,66.8107083333333,324.283265324482,62.76031147729982,62.51786621449767,4.050396856033473,4.2928421188356225
106,106,19115,IRAPE,507.34,62,44,0,44,59.72,90.81,,17/04/2022,2022-04-17,66.428,329.478125160794,64.23119155654399,63.997229676419224,2.196808443456007,2.4307703235807736
107,107,19115,IRAPE,507.35,62,47,0,47,58.75,90.84,,18/04/2022,2022-04-18,66.6415,340.305849874808,68.63598547012255,68.4308548980507,1.9944854701225552,1.7893548980507035
108,108,19115,IRAPE,507.35,50,47,0,47,56.57,90.85,,19/04/2022,2022-04-19,66.3875833333333,340.942319548899,68.63720085821637,68.43207028614454,2.249617524883078,2.0444869528112406
109,109,19115,IRAPE,507.35,47,47,0,47,51.8,90.85,,20/04/2022,2022-04-20,66.536375,340.569357093011,68.63720085821637,68.43207028614454,2.1008258582163677,1.8956952861445302
110,110,19115,IRAPE,507.35,47,47,0,47,47.02,90.85,,21/04/2022,2022-04-21,67.229375,338.832277404877,68.63720085821637,68.43207028614454,1.4078258582163699,1.2026952861445324
111,111,19115,IRAPE,507.34,38,47,0,47,44.24,90.83,,22/04/2022,2022-04-22,66.88625,339.682357445268,68.63477008202872,68.42963950995689,1.748520082028719,1.5433895099568815
112,112,19115,IRAPE,507.34,38,47,0,47,41.87,90.81,,23/04/2022,2022-04-23,67.9266666666667,337.074440188613,68.63233930584104,68.4272087337692,0.7056726391743382,0.5005420671025007
113,113,19115,IRAPE,507.32,33,48,0,48,38.29,90.74,,24/04/2022,2022-04-24,67.7568333333333,341.01847615943,70.0913167974604,69.8969073065366,2.3344834641270893,2.1400739732033003
114,114,19115,IRAPE,507.31,35,47,0,47,37.11,90.71,,25/04/2022,2022-04-25,66.2581666666667,341.226716465165,68.62018542490274,68.41505485283089,2.3620187582360472,2.1568881861641955
115,115,19115,IRAPE,507.3,32,47,0,47,35.93,90.68,,26/04/2022,2022-04-26,67.0827083333333,339.14991331771,68.61653926062124,68.4114086885494,1.5338309272879371,1.3287003552160996
116,116,19115,IRAPE,507.29,32,47,0,47,35.15,90.65,,27/04/2022,2022-04-27,67.636375,337.752087746767,68.61289309633975,68.40776252426791,0.9765180963397455,0.771387524267908
117,117,19115,IRAPE,507.28,32,47,0,47,33.97,90.61,,28/04/2022,2022-04-28,67.67475,337.645896645711,68.60803154396443,68.40290097189259,0.9332815439644264,0.7281509718925889
118,118,19115,IRAPE,507.27,29,47,0,47,33.39,90.57,,29/04/2022,2022-04-29,66.9336666666667,339.493502425722,68.6031699915891,68.39803941951726,1.6695033249224025,1.464372752850565
119,119,19115,IRAPE,507.26,29,47,2,45,32.41,90.53,,30/04/2022,2022-04-30,64.731125,337.793052618426,65.6792314843536,65.48282987279545,0.9481064843535876,0.7517048727954432
120,120,19115,IRAPE,507.24,29,47,0,47,31.83,90.49,,01/05/2022,2022-05-01,67.8327083333334,337.209956945271,68.59344688683844,68.3883163147666,0.7607385535050355,0.555607981433198
121,121,19115,IRAPE,507.23,27,47,0,47,31.25,90.44,,02/05/2022,2022-05-02,67.6773333333333,337.589421240428,68.5873699463693,68.38223937429746,0.9100366130359987,0.7049060409641612
122,122,19115,IRAPE,507.22,29,47,0,47,30.47,90.4,,03/05/2022,2022-05-03,67.7805833333333,337.320613913155,68.58250839399395,68.37737782192211,0.8019250606606505,0.596794488588813
123,123,19115,IRAPE,507.2,24,47,0,47,29.89,90.34,,04/05/2022,2022-05-04,67.6285833333333,337.681618404636,68.57521606543095,68.37008549335911,0.9466327320976546,0.7415021600258171
124,124,19115,IRAPE,507.19,27,47,0,47,29.51,90.3,,05/05/2022,2022-05-05,67.822625,337.185231914278,68.57035451305565,68.3652239409838,0.7477295130556456,0.5425989409837939
125,125,19115,IRAPE,507.18,26,47,0,47,30.12,90.26,,06/05/2022,2022-05-06,67.9632916666667,336.822635652425,68.56549296068032,68.36036238860848,0.6022012940136108,0.3970707219417733
126,126,19115,IRAPE,507.14,25,75,0,75,29.34,90.15,,07/05/2022,2022-05-07,114.91625,326.628636182012,109.71559796520579,110.00154983492631,5.200652034794217,4.914700165073697
127,127,19115,IRAPE,507.13,28,48,0,48,29.56,90.1,,08/05/2022,2022-05-08,67.129125,342.369115637771,70.01187696290187,69.81746747197809,2.882751962901864,2.688342471978089
128,128,19115,IRAPE,507.11,25,45,0,45,28.58,90.04,,09/05/2022,2022-05-09,67.8352916666667,329.516302941765,65.60832977166177,65.3834180858448,2.2269618950049335,2.4518735808219105
129,129,19115,IRAPE,507.1,25,45,0,45,29.41,90.0,,10/05/2022,2022-05-10,68.043375,328.961538003708,65.60367509385561,65.37876340803864,2.4396999061443836,2.6646115919613607
130,130,19115,IRAPE,507.1,26,49,2,47,30.23,89.99,,11/05/2022,2022-05-11,67.70425,337.391951695061,68.54717636547169,68.37151024481805,0.8429263654716834,0.6672602448180527
131,131,19115,IRAPE,507.08,24,47,0,47,27.85,89.93,,12/05/2022,2022-05-12,67.5314583333333,337.805072754867,68.52538515358388,68.32025458151205,0.9939268202505787,0.7887962481787412
132,132,19115,IRAPE,507.06,27,47,0,47,28.07,89.87,,13/05/2022,2022-05-13,67.77425,337.1764891003,68.51809282502089,68.31296225294905,0.7438428250208915,0.538712252949054
133,133,19115,IRAPE,507.04,24,47,0,47,27.3,89.78,,14/05/2022,2022-05-14,67.68125,337.389603690483,68.50715433217641,68.30202376010456,0.8259043321764068,0.6207737601045551
134,134,19115,IRAPE,507.0,26,90,0,90,27.92,89.64,,15/05/2022,2022-05-15,133.66325,332.03391564259,131.7482519176845,132.4385074002082,1.914998082315492,1.2247425997917958
135,135,19115,IRAPE,506.99,21,47,0,47,29.14,89.63,,16/05/2022,2022-05-16,66.5035,340.291761847336,68.48892351076893,68.28379293869708,1.9854235107689249,1.7802929386970732
136,136,19115,IRAPE,506.98,24,47,0,47,29.37,89.57,,17/05/2022,2022-05-17,67.7888333333334,337.059934393059,68.48163118220594,68.27650061013411,0.6927978488725444,0.4876672768007069
137,137,19115,IRAPE,506.95,28,48,0,48,27.39,89.48,,18/05/2022,2022-05-18,69.3370416666667,336.770032600444,69.93491962317331,69.74051013224951,0.5978779565066077,0.40346846558280447
138,138,19115,IRAPE,506.93,22,48,0,48,26.42,89.41,,19/05/2022,2022-05-19,68.13325,339.704603803151,69.92623089126847,69.73182140034469,1.7929808912684706,1.5985714003446816
139,139,19115,IRAPE,506.91,22,48,0,48,25.85,89.35,,20/05/2022,2022-05-20,67.716375,340.707776586477,69.91878340677862,69.72437391585483,2.2024084067786163,2.0079989158548273
140,140,19115,IRAPE,506.88,21,59,0,59,25.27,89.26,,21/05/2022,2022-05-21,85.132875,336.88754191109,86.0282106302876,85.98676866882334,0.8953356302876045,0.8538936688233463
141,141,19115,IRAPE,506.86,21,53,0,53,25.3,89.18,,22/05/2022,2022-05-22,80.366625,328.21773097842,77.2195652748002,77.08687026387817,3.147059725199796,3.2797547361218307
