,Unnamed: 0,Código,Nome,Cota (m),Afluência (m³/s),Defluência (m³/s),Vazão Vertida (m³/s),Vazão Turbinada (m³/s),Vazão Natural (m³/s),Volume Útil (%),Vazão Incremental (m³/s),Data da Medição,data,PG,h2,PGreglin,PGregpol3,erroreglin,erroregpol
193,193,19120,QUEIMADO,827.0,9.01,21,0,21,12.46,82.48,,13/07/2022,2022-07-13,26.976625,675.66036383775,30.316397374698923,30.292967770040942,3.3397723746989243,3.3163427700409436
194,194,19120,QUEIMADO,826.97,8.89,20,0,20,12.26,82.23,,14/07/2022,2022-07-14,30.8515416666667,645.238069285105,28.754354125369417,28.70468913488053,2.0971875412972842,2.1468525317861697
195,195,19120,QUEIMADO,826.94,8.63,19,0,19,12.12,82.0,,15/07/2022,2022-07-15,28.8614583333333,647.98285768093,27.204550975831616,27.135245164564424,1.6569073575016837,1.7262131687688758
196,196,19120,QUEIMADO,826.91,8.56,19,0,19,12.22,81.72,,16/07/2022,2022-07-16,28.8045416666667,648.305772765793,27.198956969495683,27.129651158228487,1.6055846971710181,1.6748905084382137
197,197,19120,QUEIMADO,826.87,8.41,21,0,21,12.25,81.44,,17/07/2022,2022-07-17,30.894375,653.551674525256,30.293432506583006,30.270002901925025,0.6009424934169942,0.624372098074975
198,198,19120,QUEIMADO,826.85,9.37,19,0,19,12.16,81.23,,18/07/2022,2022-07-18,29.567,643.51810575414,27.189167458407805,27.119861647140613,2.377832541592195,2.447138352859387
199,199,19120,QUEIMADO,826.82,8.26,20,0,20,12.32,80.97,,19/07/2022,2022-07-19,30.170875,649.097556682626,28.727856200620266,28.678191210131374,1.4430187993797325,1.4926837898686252
200,200,19120,QUEIMADO,826.79,8.89,20,0,20,12.21,80.72,,20/07/2022,2022-07-20,29.4102916666667,653.547795600008,28.722598675868454,28.67293368537957,0.6876929907982472,0.7373579812871327
201,201,19120,QUEIMADO,826.76,9.0,20,0,20,12.2,80.48,,21/07/2022,2022-07-21,29.4330416666667,653.38378604326,28.71755145210671,28.667886461617826,0.7154902145599884,0.7651552050488739
202,202,19120,QUEIMADO,826.72,8.22,20,0,20,12.01,80.21,,22/07/2022,2022-07-22,30.177,648.961477186578,28.711873325374743,28.66220833488585,1.4651266746252567,1.5147916651141493
203,203,19120,QUEIMADO,826.7,8.29,20,0,20,11.76,80.0,,23/07/2022,2022-07-23,29.196,654.720087084181,28.707457004583226,28.65779201409434,0.4885429954167755,0.538207985905661
